Code,Title,Levels,Runtime,RelDate,Season,Authors,Tier,Price,Seed,G.Ad.,Eber,RMH,Epic,URL
CCC-QCC2017,"Delusions of Grandeur, Dreams of Revenge",11-16,4,,,,,,,,,,,
CCC-QCC2018-01,Of Gods and Monsters,11-16,2,,,,,,,,,,,
CCC-QCC2018-02,Heart and Soul,5-10,2,,,,,,,,,,,
CCC-REAP-01,Red War: Lost Ashes of a Wayward Gnome,5-10,4,,,,,,,,,,,
CCC-ROZK-0101,Binder's Torment,11-16,4,,,,,,,,,,,
CCC-ROZK-0102,Zhentarim's Lament,11-16,4,,,,,,,,,,,
CCC-ROZK-0103,Necormancer's Ascent,11-16,4,,,,,,,,,,,
CCC-RPR-01,Eyes of Blood,1-4,4,,,,,,,,,,,
CCC-RPSG-01,Ooze There,1-4,4,,,,,,,,,,,
CCC-SAC-01,A Light in the Dark,11-16,4,,,,,,,,,,,
CCC-SAC-02,Fun with Fey,11-16,4,,,,,,,,,,,
CCC-SAC-03,"They're Good Adventurers, Brent",1-4,2,,,,,,,,,,,
CCC-SALT-01-01,Rumor of Riches,1-4,2,,,,,,,,,,,
CCC-SALT-01-02,Moor Trouble,1-4,2,,,,,,,,,,,
CCC-SALT-01-03,Broken Halls of Goldahroud,1-4,4,,,,,,,,,,,
CCC-SALT-02-01,Mulmaster's Meddlings,1-4,4,,,,,,,,,,,
CCC-SALT-02-02,Tower in the Valley,5-10,4,,,,,,,,,,,
CCC-SALT-0205,The Darkness Never Forgets,5-10,4,,,,,,,,,,,
CCC-SCAR01-01,Corrupted Artery,1-4,2,,,,,,,,,,,
CCC-SCAR01-02,Glister by Light,1-4,4,,,,,,,,,,,
CCC-SCAR02-01,Glister By Dark,1-4,4,,,,,,,,,,,
CCC-SCAR02-02,Nature's Defense,1-4,4,,,,,,,,,,,
CCC-SFBAY-0101,Plots in Motion,5-10,8,,,,,,,,,,,
CCC-SFBAY-0201,Old Enemies Arise,5-10,4,,,,,,,,,,,
CCC-SFBAY-0202,Rise of the Ogre King,5-10,4,,,,,,,,,,,
CCC-SFBAY-0203,The Risen Minotaur Lord,5-10,4,,,,,,,,,,,
CCC-SFBAY-0401,The Cornflower Hive,1-4,4,,,,,,,,,,,
CCC-SFBAY-0402,Under Earth and Stone,5-10,2,,,,,,,,,,,
CCC-SFBAY-0403,The Ashen Scar,1-4,2,,,,,,,,,,,
CCC-SHINY-02,An Open Secret,1-4,2,,,,,,,,,,,
CCC-SHINY-04,Elusion of Grand Yore,5-10,4,,,,,,,,,,,
CCC-SKULL01-01,A Murder Most Foul,5-10,4,,,,,,,,,,,
CCC-SKULL01-02,Not All Who Are Lost Should Be Found,5-10,4,,,,,,,,,,,
CCC-SKULL01-03,Who Pulls the Strings,5-10,4,,,,,,,,,,,
CCC-SQC-001,The Woodland Sage,5-10,4,,,,,,,,,,,
CCC-SQC-0201,None the Wiser,5-10,4,,,,,,,,,,,
CCC-SQC-0202,Last Gasp,5-10,4,,,,,,,,,,,
CCC-SRCC-0101,Trouble in the Old City,1-4,2,,,,,,,,,,,
CCC-SRCC-0102,Down the River of Snakes,1-4,2,,,,,,,,,,,
CCC-SRCC-0103,Altar of the Smoldering Eye,1-4,2,,,,,,,,,,,
CCC-STORM-01,The Barrows of Solina,5-10,4,,,,,,,,,,,
CCC-STORM-02,Swamp of Sorrow: Bloodpurge Village,5-10,2-4,,,,,,,,,,,
CCC-STS2-1,Red War - Embassy of Evil,5-10,4,,,,,,,,,,,
CCC-SVH01-01,Dawn of the Raven Lord,11-16,4,,,,,,,,,,,
CCC-SVH01-02,Raven Lord's Aerie,11-16,4,,,,,,,,,,,
CCC-SVH01-03,Vault of the Raven Lord,11-16,4,,,,,,,,,,,
CCC-TAROT-0101,Awakening of Fates,1-4,2,,,,,,,,,,,
CCC-TAROT-0102,By the Light of the Moon,1-4,2,,,,,,,,,,,
CCC-TAROT-0103,A Martyred Heart,1-4,2,,,,,,,,,,,
CCC-TAROT-0104,Tangled Woods,1-4,2,,,,,,,,,,,
CCC-TAROT-0105,The Lost Apprentice,1-4,2,,,,,,,,,,,
CCC-TAROT-0106,Lies in the Moonlight,1-4,2,,,,,,,,,,,
CCC-TAROT-0107,The Seat of the Ruler,1-4,4,,,,,,,,,,,
CCC-TAROT-02-01,A Sunk Cost,5-10,4,,,,,,,,,,,
CCC-THENT-0101,Beneath The Surface,1-4,2,,,,,,,,,,,
CCC-THENT-0102,Those That Dwell Beneath,1-4,2,,,,,,,,,,,
CCC-THENT-0103,The Dreaming Relic,1-4,4,,,,,,,,,,,
CCC-TRI-01,Into the Darkness,11-16,4,,,,,,,,,,,
CCC-TRI-02,Impression Left Behind,11-16,4,,,,,,,,,,,
CCC-TRI-03,Fences and Swords,5-10,2,,,,,,,,,,,
CCC-TRI-04,Birds of a Feather,5-10,2,,,,,,,,,,,
CCC-TRI-05,Hunt of Malar,5-10,4,,,,,,,,,,,
